2025-10-11 21:00:29,869 | INFO | Starting Accelerated Nasdaq Trader Pipeline
2025-10-11 21:00:29,871 | INFO | System optimized for high performance
2025-10-11 21:00:29,872 | INFO | Found 1 videos to process
2025-10-11 21:00:29,874 | INFO | Processing: https://www.youtube.com/watch?v=K8TFnwpDoAE
2025-10-11 21:02:00,326 | INFO | Starting Accelerated Nasdaq Trader Pipeline
2025-10-11 21:02:00,326 | INFO | System optimized for high performance
2025-10-11 21:02:00,326 | INFO | Found 1 videos to process
2025-10-11 21:02:00,327 | INFO | Processing: https://www.youtube.com/watch?v=K8TFnwpDoAE
2025-10-11 21:06:05,905 | INFO | Saving 1 successful results...
2025-10-11 21:06:05,910 | INFO | Saved report for https://www.youtube.com/watch?v=K8TFnwpDoAE
2025-10-11 21:06:05,911 | INFO | Accelerated pipeline complete!
2025-10-11 21:07:42,703 | INFO | Saving 1 successful results...
2025-10-11 21:07:42,709 | INFO | Saved report for https://www.youtube.com/watch?v=K8TFnwpDoAE
2025-10-11 21:07:42,709 | INFO | Accelerated pipeline complete!
2025-10-11 21:18:44,496 | INFO | Starting Accelerated Nasdaq Trader Pipeline
2025-10-11 21:18:44,496 | INFO | System optimized for high performance
2025-10-11 21:18:44,496 | INFO | Found 1 videos to process
2025-10-11 21:18:44,497 | INFO | Processing: https://www.youtube.com/watch?v=K8TFnwpDoAE
2025-10-11 21:18:54,097 | INFO | Transcribing audio: video_cache/K8TFnwpDoAE.m4a
2025-10-11 21:23:21,260 | INFO | Transcript cached: transcript_cache/K8TFnwpDoAE.txt
2025-10-11 21:24:08,883 | INFO | Saving 1 successful results...
2025-10-11 21:24:08,886 | INFO | Saved report for https://www.youtube.com/watch?v=K8TFnwpDoAE
2025-10-11 21:24:08,886 | INFO | Accelerated pipeline complete!
